audio_path,similarity_ratio,below_threshold,expected_text,transcribed_text
/home/david/levante/levante_translations/audio_files/es-CO/ChildSurveyIntro.mp3,0.4872611464968153,True,"Estas preguntas se refieren a cómo te sientes en el colegio, y a algunas de las cosas que haces en el colegio. No hay respuestas correctas ni incorrectas. Elige la respuesta que mejor diga lo que tú piensas. No, nunca; Sí, algunas veces; Sí, muchas veces; Sí, siempre. Las primeras dos preguntas son de práctica.","Estas preguntas se refieren a cómo te sientes en el colegio y a de algunas de las cosas que haces en el colegio. No hay respuestas correctas ni incorrectas. Él dice la respuesta que mejor diga lo que tú piensas. No, nunca. Sí, algunas veces. Sí, muchas veces. Sí, siempre. Las primeras dos preguntas son de práctica."
/home/david/levante/levante_translations/audio_files/es-CO/ChildSurveyRespoonses.mp3,0.9411764705882353,False,"No, nunca; Sí, algunas veces; Sí, muchas veces; Sí, siempre","No, nunca. Sí, algunas veces. Sí, muchas veces. Sí, siempre."
/home/david/levante/levante_translations/audio_files/es-CO/ClassFriends.mp3,1.0,False,¿Tienes amigos o amigas en tu salón?,¿Tienes amigos o amigas en tu salón?
/home/david/levante/levante_translations/audio_files/es-CO/ClassHelp.mp3,1.0,False,¿Te ayudan los niños y las niñas de tu salón cuando lo necesitas?,¿Te ayudan los niños y las niñas de tu salón cuando lo necesitas?
/home/david/levante/levante_translations/audio_files/es-CO/ClassNice.mp3,0.9724770642201835,False,¿Los niños y las niñas de tu salón son amables contigo?,Los niños y las niñas de tu salón son amables contigo.
/home/david/levante/levante_translations/audio_files/es-CO/ClassPlay.mp3,1.0,False,¿Los niños y las niñas de tu salón juegan contigo?,¿Los niños y las niñas de tu salón juegan contigo?
/home/david/levante/levante_translations/audio_files/es-CO/Example1Comic.mp3,0.9428571428571428,False,¿Te gusta leer historietas (comics)?,¿Te gusta leer historietas cómics?
/home/david/levante/levante_translations/audio_files/es-CO/Example2Neat.mp3,1.0,False,¿Eres limpio y ordenado en el colegio?,¿Eres limpio y ordenado en el colegio?
/home/david/levante/levante_translations/audio_files/es-CO/GrowthMindMath.mp3,1.0,False,Algunos niños y niñas creen que pueden mejorar en matemáticas si se esfuerzan mucho. ¿Crees que tú puedes mejorar en matemáticas si te esfuerzas mucho?,Algunos niños y niñas creen que pueden mejorar en matemáticas si se esfuerzan mucho. ¿Crees que tú puedes mejorar en matemáticas si te esfuerzas mucho?
/home/david/levante/levante_translations/audio_files/es-CO/GrowthMindRead.mp3,1.0,False,Algunos niños y niñas creen que pueden mejorar en lectura si se esfuerzan mucho. ¿Crees que tú puedes mejorar en lectura si te esfuerzas mucho?,Algunos niños y niñas creen que pueden mejorar en lectura si se esfuerzan mucho. ¿Crees que tú puedes mejorar en lectura si te esfuerzas mucho?
